Log_ID,Application_ID,Stage,Assigned_To,Stage_Start_Timestamp,Stage_End_Timestamp,Status
LOG0001,APP0001,Lead_Generation,Sales_Agent_A,2025-01-10 10:00:00,2025-01-10 14:30:00,Completed
LOG0002,APP0001,Credit_Review,Credit_Officer_X,2025-01-10 15:00:00,2025-01-11 11:00:00,Completed
LOG0003,APP0001,Document_Verification,Ops_Agent_1,2025-01-11 11:15:00,2025-01-11 16:45:00,Completed
LOG0004,APP0001,Disbursal_Queue,Finance_Team,2025-01-12 09:00:00,2025-01-12 12:00:00,Completed
LOG0005,APP0002,Lead_Generation,Sales_Agent_B,2025-01-12 11:00:00,2025-01-12 15:00:00,Completed
LOG0006,APP0002,Credit_Review,Credit_Officer_Y,2025-01-13 09:30:00,2025-01-14 17:00:00,Rejected
LOG0007,APP0003,Lead_Generation,Sales_Agent_C,2025-01-15 09:15:00,2025-01-15 11:30:00,Completed
LOG0008,APP0003,Credit_Review,Credit_Officer_X,2025-01-15 13:00:00,2025-01-16 14:00:00,Completed
LOG0009,APP0005,Lead_Generation,Sales_Agent_A,2025-01-20 14:00:00,2025-01-20 17:30:00,Completed
LOG0010,APP0005,Credit_Review,Credit_Officer_Z,2025-01-21 10:00:00,2025-01-22 15:45:00,Completed
LOG0011,APP0006,Lead_Generation,Sales_Agent_B,2025-01-22 09:00:00,2025-01-22 12:00:00,Completed
LOG0012,APP0006,Credit_Review,Credit_Officer_X,2025-01-22 13:00:00,2025-01-23 11:30:00,Completed
LOG0013,APP0006,Document_Verification,Ops_Agent_2,2025-01-23 14:00:00,,Pending
LOG0014,APP0008,Lead_Generation,Sales_Agent_C,2025-01-25 10:00:00,2025-01-25 13:00:00,Completed
LOG0015,APP0008,Credit_Review,Credit_Officer_Y,2025-01-25 14:00:00,2025-01-26 10:30:00,Completed
LOG0016,APP0008,Document_Verification,Ops_Agent_1,2025-01-26 11:00:00,2025-01-26 15:00:00,Completed
LOG0017,APP0008,Disbursal_Queue,Finance_Team,2025-01-26 16:00:00,2025-01-27 10:00:00,Completed
LOG0018,APP0011,Lead_Generation,Sales_Agent_A,2025-02-01 10:00:00,2025-02-01 14:00:00,Completed
LOG0019,APP0011,Credit_Review,Credit_Officer_Z,2025-02-01 15:00:00,2025-02-02 11:00:00,Completed
LOG0020,APP0011,Document_Verification,Ops_Agent_3,2025-02-02 11:30:00,2025-02-02 16:00:00,Completed
LOG0021,APP0011,Disbursal_Queue,Finance_Team,2025-02-03 09:00:00,2025-02-03 14:00:00,Completed
LOG0022,APP0012,Lead_Generation,Sales_Agent_B,2025-02-02 11:00:00,2025-02-02 16:00:00,Completed
LOG0023,APP0012,Credit_Review,Credit_Officer_X,2025-02-03 09:30:00,2025-02-04 15:00:00,Rejected
LOG0024,APP0013,Lead_Generation,Sales_Agent_C,2025-02-04 09:00:00,2025-02-04 12:00:00,Completed
LOG0025,APP0013,Credit_Review,Credit_Officer_Y,2025-02-04 13:00:00,2025-02-05 10:00:00,Completed
LOG0026,APP0017,Lead_Generation,Sales_Agent_A,2025-02-11 10:00:00,2025-02-11 15:00:00,Completed
LOG0027,APP0017,Credit_Review,Credit_Officer_Z,2025-02-12 09:00:00,2025-02-12 17:00:00,Completed
LOG0028,APP0017,Document_Verification,Ops_Agent_1,2025-02-13 09:00:00,,Pending
LOG0029,APP0023,Lead_Generation,Sales_Agent_B,2025-02-21 11:00:00,2025-02-21 14:30:00,Completed
LOG0030,APP0023,Credit_Review,Credit_Officer_X,2025-02-22 10:00:00,2025-02-23 12:00:00,Completed
